日期,rsi,k,d,wr,cci,adx,acc_5,acc_10,acc_20,acc_60,acc_120,vpt,beta,y_10,y_20,y_40,y_60
2007-02-01,55.35198613491623,62.13544892036244,76.50988255847487,-61.1538461538462,-30.067328540453463,32.22961116190206,0.9730348776678812,1.0525414660246122,1.05923820352473,0.9506096300888612,0.9780521262002744,0.0,0.567287,0,0,0,0
2007-02-02,58.2490357831827,57.69314122805476,74.21113360781402,-44.42307692307687,19.50407721750742,32.179925493343426,0.9407914919725944,1.0483870967741935,1.0785044617643738,0.9367929423975092,0.9773801146074194,0.0,0.593919,0,0,0,0
2007-02-05,60.06734249808069,55.91568179833072,71.61067351427482,-33.26923076923074,25.686684449571302,32.133788801110406,0.9477696507674874,1.0337150127226464,1.03243182583324,0.9367929423975092,0.9543016093781046,0.0,0.599737,0,0,0,0
2007-02-06,60.06734249808068,54.48387195144339,68.81051201301872,-33.26923076923074,45.08441603557306,32.37372344837387,0.9625955775986774,1.024416023676144,1.0371947120770784,0.924961079398028,0.9291033949124674,0.0,0.592213,0,0,0,0
2007-02-07,53.6008987673393,51.99184848027808,65.86157951716325,-61.1538461538462,-19.908867858395023,30.948654620684348,1.0014912654452492,1.010750376263169,1.059823171431852,0.8787180561374112,0.9457198443579766,0.0,0.60283,0,0,0,0
2007-02-08,55.61286454378154,49.95815684606355,62.72596438947155,-59.907834101382406,-17.29316626677375,29.62537642354408,0.9953280951369716,1.0078723174808584,1.036392767223621,0.8943468134660173,0.900833572865766,0.0,0.598932,0,0,0,0
2007-02-09,48.914805096349504,47.263121385070654,59.55748196079138,-76.95035460992901,-143.81659670649017,28.6370930308396,1.0411078399302147,0.9983722192078132,1.0507976015386356,0.9012161297205036,0.9416723850602884,0.0,0.611978,0,0,0,0
2007-02-12,47.90262409555048,44.439539824786976,56.3818414509809,-82.0921985815602,-132.87715868361005,27.719401309042578,1.05709910304091,1.0015240583496623,1.0666054203031694,0.8672925112011947,0.960540701719511,0.0,0.614311,0,0,0,0
2007-02-13,50.61064767562294,42.854907344478455,53.42952521489429,-69.14893617021274,-71.63009884023379,26.45802548343747,1.0421654265070637,0.996896736222579,1.0773260448696047,0.8954588960969904,0.9202383240438208,0.0,0.689984,0,0,0,0
2007-02-14,51.12353030774995,41.19647791010173,50.7932195688971,-66.66666666666663,-25.43085329970516,24.7791154253114,1.0047159699892818,0.9937638727407252,1.1078757308265506,0.8996687680307726,0.9056965055050265,0.0,0.620565,0,0,0,0
2007-02-26,54.23245291089184,42.18774905030905,48.79844958189176,-51.24113475177305,33.06442938582326,23.399598188861773,1.0092523662660853,0.9730122482873156,1.111035807071049,0.9051816813588476,0.883281972265023,0.0,0.646288,0,0,0,0
2007-02-27,54.23245291089182,41.50594326743943,47.17972978583023,-51.24113475177305,-2.1983107717225616,21.747101038366274,0.9633298208640674,0.9822034770085384,1.1306901615271658,0.8786237655304238,0.9141468157510938,0.0,0.626863,0,0,0,0
2007-03-01,51.24352714394903,38.844724051872376,45.4726340111844,-59.88142292490119,-50.96933380331258,20.54398178890016,0.958632334318278,1.0152326925097177,1.1030659576875212,0.8960997780361484,0.9468304668304668,0.0,0.619834,0,0,0,0
2007-03-02,49.4889959314328,35.313939618914034,43.55564077793146,-68.57707509881418,-65.32983508245796,19.666540564008823,0.9785835453774384,1.023078551767944,1.1001135073779795,0.919134273715947,0.9064010829626764,0.0,0.623162,0,0,0,0
2007-03-03,43.78628886062783,32.03601879496811,41.56005780940047,-93.93305439330548,-147.4949158809388,19.981859915142763,1.014241893076249,1.0253773791292935,1.0904662491301322,0.9138900908697534,0.9573450269085112,0.0,0.682396,0,0,0,1
