,foreign_cap_ratio,invst_cap_ratio,foreign_cost,invst_cost,major_cost,margin_b,short_b,smr,borrow_b,ins_nbd,ins_nbv,Force_nbv,Force_nbd,y_10,y_20,y_40,y_60
2015-05-13,0.0,0.0,0.0,0.0,0.0,0.9022556390977444,1.12,0.0,1.007218511772246,3.825233544733983,-0.4446712944058799,0.0061249489587586,0.594059405940594,0.0,0.0,0.0,0.0
2015-05-14,0.0,0.0,0.0,0.0,0.0,0.9131659328017772,1.6176470588235294,0.0,1.0047657205516427,2.4538624857096205,-0.4027121888959795,-0.0216975111678366,1.9047619047619049,0.0,0.0,0.0,0.0
2015-05-15,-0.0247586036147495,-5.263157894736848,0.0,0.0,0.0,0.9752952081570144,1.0731707317073171,0.0,1.0028846640462896,2.5481606041832627,-0.4281288723667906,0.063816604708798,7.357142857142857,0.0,0.0,0.0,0.0
2015-05-18,0.0,0.0,0.0,0.0,0.0,0.966270900949016,0.9803921568627452,0.0,1.0013896492188488,0.2697431051684383,-0.0661722731906218,0.1039755351681957,63.75,0.0,0.0,0.0,0.0
2015-05-19,-0.0742942050520056,0.0,0.0,0.0,0.0,1.0294179185671843,0.9876543209876544,0.0,0.9365744998607796,1.5436833097920493,-0.3028718173836699,-0.1422300263388937,13.965517241379311,0.0,0.0,0.0,0.0
2015-05-20,-0.0495662949194675,0.0,0.0,0.0,0.0,1.1636579371133149,1.958041958041958,0.0,0.9360216549874776,4.97437799113293,-0.6853598014888338,-0.1146401985111662,11.63727959697733,0.0,0.0,0.0,0.0
2015-05-21,0.0,0.0,0.0,0.0,0.0,1.3036093418259025,1.5555555555555556,0.0,0.9440282804477738,4.884302594445726,-0.7498512505484862,-0.111013602457218,6.950549450549451,0.0,0.0,0.0,0.0
2015-05-22,0.0,0.0,0.0,0.0,0.0,1.0884587321344263,1.1378555798687089,0.0,0.9598188071470514,1.3888283692983945,0.2356321839080459,0.1243469174503657,10.601336302895325,0.0,0.0,0.0,0.0
2015-05-25,-0.0247954376394687,1.388888888888884,0.0,0.0,0.0,1.1432477464006494,1.120689655172414,0.0,0.9387580873306158,1.5062012894767811,-0.5866404715127702,-0.0137524557956778,0.4314329738058551,0.0,0.0,0.0,0.0
2015-05-26,-0.0248015873015816,-1.3698630136986356,0.0,0.0,0.0,1.095902021443404,1.0638297872340423,0.0,0.9412138332191152,1.3375481597804992,-0.4152479644707624,-0.0888230940044411,2.9962546816479403,0.0,0.0,0.0,0.0
2015-05-27,-0.0744232200446615,0.0,0.0,0.0,0.0,1.0738593395512983,1.1320754716981132,0.0,0.9553757611143548,0.7879131918259921,-0.3451710526315789,-0.1163967611336032,2.3138832997987926,0.0,0.0,0.0,0.0
2015-05-28,0.0,0.0,0.0,0.0,0.0,1.079552542936749,1.1934156378600822,0.0,0.97529150007528,2.562212038167178,-0.8038940269749518,-0.0468850353243416,1.4341846758349706,0.0,0.0,0.0,0.0
2015-05-29,-0.0993048659384321,0.0,0.0,0.0,0.0,1.0484203579971954,0.98159509202454,0.0,0.996139060811886,0.8501440485062745,-0.2076852766798419,-0.0019762845849802,0.0804828973843058,0.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,1.04020264749142,0.8163265306122449,0.0,0.99252129586156,0.6257709202921915,-0.373015873015873,0.0929705215419501,1.7962760131434832,0.0,0.0,0.0,0.0
2015-06-02,0.0,0.0,0.0,0.0,0.0,1.027178095508121,0.8146639511201629,0.0,0.9870256872844992,1.033221081792165,-0.5555960591133005,-0.1359605911330049,2.738095238095238,0.0,0.0,0.0,0.0
2015-06-03,-0.0497017892644224,0.0,0.0,0.0,0.0,0.9795392299017238,0.6995884773662551,0.0,0.9970853385752052,1.7577915494517289,-0.5616362631288004,-0.0491984521835268,1.64967562557924,0.0,0.0,0.0,0.0
2015-06-04,0.0,0.0,0.0,0.0,0.0,0.940816982952718,0.8281573498964804,0.0,1.002187550539227,1.371690730743647,-0.405140282513395,-0.1578178275694106,4.807121661721068,0.0,0.0,0.0,0.0
2015-06-05,-0.4475385380407704,1.388888888888884,0.0,0.0,0.0,0.8529850445438788,0.8677685950413223,0.0,0.952266524776437,0.5390108263939799,-0.207726409119696,-0.0088663711209626,0.21722265321955,0.0,0.0,0.0,0.0
2015-06-08,-0.0249750249750158,0.0,0.0,0.0,0.0,0.8280048563334682,0.7422680412371134,0.0,0.9598615916955018,0.1623361535522087,-0.0593606356968215,0.1063569682151589,3.2645403377110696,0.0,0.0,0.0,0.0
2015-06-09,-0.0249812640519597,0.0,0.0,0.0,0.0,0.9182105007685464,0.7835051546391752,0.0,0.9668486705613764,1.249573235898665,-0.5955856060606061,-0.0909090909090909,2.456499488229273,0.0,0.0,0.0,0.0
2015-06-10,0.0,1.3698630136986356,0.0,0.0,0.0,0.8857884490590526,0.865979381443299,0.0,0.9320391739259466,0.0762692943980896,-0.0560509554140127,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-11,-0.174912543728134,2.7027027027026973,0.0,0.0,0.0,0.7965686274509803,1.0084033613445378,0.0,0.9365839959278957,0.7950477840299692,0.2604640849469081,0.1861336664584634,9.030303030303031,0.0,0.0,0.0,0.0
2015-06-12,0.0,0.0,0.0,0.0,0.0,0.8153674924770188,0.8438818565400844,0.0,0.8693726806543323,1.0175981719264366,-0.5804419889502762,-0.056353591160221,1.2530712530712529,0.0,0.0,0.0,0.0
2015-06-15,-0.075093867334175,0.0,0.0,0.0,0.0,0.8328489579008553,0.8033826638477801,0.0,0.8716178758561491,0.748299121866219,-0.651593137254902,-0.0588235294117647,0.7563025210084033,0.0,0.0,0.0,0.0
