Date,Model_CumRet,Benchmark_CumRet,Model_CumRet_Pct,Benchmark_CumRet_Pct
2024-04-25,0.17204464579272316,0.11620325524227781,17.204464579272315,11.62032552422778
2024-04-26,0.18577246634421551,0.13099227371834954,18.577246634421552,13.099227371834953
2024-04-29,0.203164829664769,0.15207158278962862,20.3164829664769,15.207158278962861
2024-04-30,0.1975451046355945,0.1465111135311432,19.75451046355945,14.65111135311432
2024-05-02,0.18402985746770684,0.1367214231931928,18.402985746770682,13.672142319319281
2024-05-03,0.19206250342281983,0.14278559392980017,19.206250342281983,14.278559392980018
2024-05-06,0.20522836395497968,0.15363336926126725,20.52283639549797,15.363336926126724
2024-05-07,0.21555384856352777,0.16095315498281204,21.555384856352777,16.095315498281202
2024-05-08,0.2182548762348253,0.16359459880229354,21.82548762348253,16.359459880229355
2024-05-09,0.21450203531254686,0.1557394028408461,21.450203531254687,15.573940284084609
2024-05-10,0.22337215067883975,0.16406243299249978,22.337215067883974,16.40624329924998
2024-05-13,0.2340866967584443,0.17243042720798996,23.40866967584443,17.243042720798996
2024-05-14,0.24176533909875775,0.17963377419774984,24.176533909875776,17.963377419774986
2024-05-15,0.2523397078044063,0.18870351969854937,25.23397078044063,18.870351969854937
2024-05-16,0.2592340089395755,0.19753181077562587,25.92340089395755,19.753181077562587
2024-05-17,0.2557562275780365,0.1949605420846754,25.57562275780365,19.49605420846754
2024-05-20,0.2563671776654657,0.1957002399209682,25.636717766546568,19.570023992096818
2024-05-21,0.25520259947338175,0.19373949484823694,25.520259947338175,19.373949484823694
2024-05-22,0.274782787082511,0.21145039775003038,27.478278708251104,21.14503977500304
2024-05-23,0.2842336069381204,0.21457579004849192,28.42336069381204,21.457579004849194
2024-05-24,0.27823361443755856,0.21220958867758188,27.823361443755857,21.22095886775819
2024-05-27,0.28899511298161373,0.2256148575821766,28.89951129816137,22.561485758217657
2024-05-28,0.2866650629830101,0.22868592913299768,28.66650629830101,22.868592913299768
