date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^NDX
2025-02-06,34.661660,21.332381,55.889912,13.971925,31.613576
2025-02-07,34.495687,20.132141,55.943901,11.893020,29.904432
2025-02-10,34.818256,21.637925,56.190910,13.125218,31.508765
2025-02-11,35.196744,21.125145,55.374249,12.461157,31.126686
2025-02-12,35.672211,21.020516,54.656884,11.697584,31.282273
2025-02-13,36.471736,22.876553,56.372608,13.736280,33.164843
2025-02-14,36.628065,22.851910,55.474305,13.302219,33.672452
2025-02-18,36.985306,22.784028,57.665186,12.961443,33.974193
2025-02-19,37.053546,22.718646,58.980166,14.251930,34.040624
2025-02-20,37.187745,22.450915,59.081047,13.315436,33.390603
2025-02-21,36.931482,20.792648,55.657807,10.919675,30.646513
2025-02-24,37.035374,20.420538,54.908572,10.242695,29.062852
2025-02-25,37.015218,19.596803,52.622389,9.207583,27.462084
2025-02-26,36.348209,19.068008,52.960479,11.581824,27.738136
2025-02-27,35.705292,16.421718,48.059389,7.944491,24.220409
2025-02-28,36.470521,18.498091,50.184425,8.087680,26.236017
2025-03-03,35.993965,17.506457,47.282779,6.266646,23.462614
2025-03-04,35.735291,17.202466,47.930853,5.955748,23.021058
2025-03-05,35.991161,19.258076,51.235113,7.662536,24.688929
2025-03-06,35.604548,17.004163,47.202141,5.024332,21.208319
2025-03-07,36.039499,16.415474,49.518561,6.130632,22.107369
2025-03-10,35.268169,11.811373,44.323201,2.043942,17.450558
2025-03-11,35.117582,11.298696,43.503393,1.690141,17.124225
2025-03-12,35.166720,11.722933,42.796689,2.635593,18.448327
2025-03-13,35.263127,10.027453,40.764673,1.349842,16.208600
2025-03-14,35.417127,12.461264,44.460026,4.273362,19.104888
2025-03-17,35.575714,13.806918,47.324247,5.953700,19.755275
2025-03-18,35.504538,12.725022,45.129231,5.146749,17.767352
2025-03-19,35.542545,14.003388,46.942635,6.911292,19.298431
2025-03-20,35.518733,13.539602,45.434054,6.605024,18.941498
2025-03-21,35.484985,13.524594,44.627392,5.723426,19.403065
2025-03-24,35.582134,16.061072,48.541072,7.666381,21.980918
2025-03-25,35.554961,16.713657,48.140284,7.713226,22.629983
2025-03-26,35.540869,15.424874,46.103650,6.302736,20.388438
2025-03-27,35.567828,15.305677,44.562662,5.438841,19.672942
2025-03-28,35.410501,12.555890,40.761343,2.564390,16.546609
2025-03-31,35.513282,12.778035,40.705351,2.984530,16.528770
2025-04-01,35.552739,13.664765,40.976963,3.405861,17.483626
2025-04-02,35.662160,14.452714,41.762501,4.276856,18.362252
2025-04-03,35.352984,10.455021,33.616904,-1.862837,11.953207
2025-04-04,34.663095,3.819541,26.126728,-7.608274,5.160559
2025-04-07,34.626918,3.427843,25.093595,-6.899688,5.359910
2025-04-08,34.461813,1.992064,20.988092,-9.013641,3.303088
2025-04-09,35.872155,12.027074,34.493500,2.357166,15.722501
2025-04-10,35.480432,7.575669,28.111054,-2.230007,10.877886
2025-04-11,35.621828,10.075456,29.983104,-0.924828,12.972190
2025-04-14,35.739875,11.536460,32.051810,0.002774,13.612720
2025-04-15,35.733383,12.724840,31.712828,0.778302,13.819508
2025-04-16,35.564372,9.925727,29.125605,-2.431219,10.358483
2025-04-17,35.707908,10.691540,30.724219,-2.505503,10.361198
2025-04-21,35.227197,8.092790,29.143198,-4.541170,7.642444
2025-04-22,36.199982,10.903679,32.102103,-2.067186,10.471936
2025-04-23,36.894587,12.502136,34.302717,-0.059925,12.991587
2025-04-24,38.367903,15.498611,38.233268,3.325574,16.141627
2025-04-25,39.410425,16.601307,37.529178,3.720749,17.460298
2025-04-28,39.047017,16.559399,38.147086,3.686165,17.428434
2025-04-29,39.395218,17.725832,38.166287,3.331255,18.139632
2025-04-30,39.256727,18.932712,39.441733,4.435513,18.297214
2025-05-01,41.627645,18.317503,38.873563,3.435908,19.600963
2025-05-02,42.494881,19.896412,41.029298,6.033602,21.510414
2025-05-05,41.648917,19.367257,40.167860,5.781486,20.696401
2025-05-06,41.087678,17.582605,38.909697,4.406891,19.629002
2025-05-07,39.253476,18.606585,39.853548,6.261040,20.092139
2025-05-08,40.634073,21.074072,41.140386,7.743082,21.274383
2025-05-09,40.616484,21.242095,42.250222,7.339349,21.261621
