date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^OEX
2025-01-07,34.926414,14.063562,46.938629,20.714553,30.610951
2025-01-08,34.693102,14.304908,47.011226,21.109907,30.691079
2025-01-10,34.165646,12.140238,46.974932,19.534947,28.653229
2025-01-13,34.298477,12.430704,47.579764,20.018016,28.673484
2025-01-14,34.451875,13.355952,46.631160,20.013686,28.374136
2025-01-15,34.807756,15.735367,52.581834,22.896848,31.087668
2025-01-16,34.780669,15.149051,50.299988,23.043250,30.099581
2025-01-17,35.047397,16.193744,52.207508,24.038579,31.685024
2025-01-21,35.466422,17.764150,54.206330,25.860228,32.592531
2025-01-22,35.337615,17.761852,52.158806,25.897695,33.789496
2025-01-23,35.738430,18.625008,52.917431,26.705843,34.589872
2025-01-24,35.655587,18.447246,52.329641,26.308213,34.187425
2025-01-27,36.009902,19.390530,52.902589,26.095295,31.927652
2025-01-28,35.745959,19.760746,50.076764,25.696055,33.737271
2025-01-29,35.787573,19.482350,48.578419,25.422520,33.025134
2025-01-30,36.438495,21.094237,50.884928,27.471179,33.397853
2025-01-31,36.155859,20.757495,51.284774,26.805894,32.843721
2025-02-03,36.223862,19.474328,47.735070,25.784515,31.622897
2025-02-04,36.331349,19.666669,50.223695,26.281303,32.806805
2025-02-05,36.721904,20.654501,48.447905,26.897127,33.109758
2025-02-06,36.793840,19.911508,48.115375,27.335355,33.730523
2025-02-07,36.651146,18.748482,44.758328,26.170835,32.168940
2025-02-10,36.872794,19.335360,43.504718,26.800798,33.103911
2025-02-11,37.438917,19.892506,39.709523,26.582758,33.322230
2025-02-12,37.780141,19.042491,42.253516,26.045101,33.189887
2025-02-13,38.389986,19.644149,46.354211,26.759824,34.670891
2025-02-14,38.306307,19.582638,46.049539,26.343062,34.794683
2025-02-18,38.694779,20.594007,45.476598,26.923409,34.765427
2025-02-19,38.904964,20.915950,46.454043,27.356128,35.188118
2025-02-20,38.796970,20.517531,41.638540,26.575122,34.640734
2025-02-21,38.571724,18.346590,36.597831,24.771371,32.376905
2025-02-24,38.723002,17.823081,34.950221,24.348081,31.611643
2025-02-25,38.884017,17.733721,32.812017,24.643955,30.759053
2025-02-26,38.339441,18.409338,31.056874,24.280239,30.722137
2025-02-27,37.936187,17.392003,29.457129,22.956030,28.362882
2025-02-28,38.652193,19.136956,33.184484,25.126437,30.624457
2025-03-03,38.305827,17.988490,30.202619,23.864692,27.954589
2025-03-04,37.818159,16.413724,25.368201,21.815207,26.520403
2025-03-05,38.058613,17.927701,29.040071,23.534582,28.032915
2025-03-06,37.695503,16.371386,24.965925,21.319179,25.702465
2025-03-07,38.245422,17.053823,23.391665,20.772788,26.357442
2025-03-10,37.690973,13.907122,14.961738,17.064555,22.472157
2025-03-11,37.351800,12.472543,16.236602,15.878579,21.642525
2025-03-12,37.319595,12.833702,17.581888,16.084720,22.513578
2025-03-13,37.422818,10.846472,15.504409,13.696314,20.664791
2025-03-14,37.641352,13.364334,18.238394,15.878596,23.232023
2025-03-17,37.860580,15.015611,17.888118,16.957927,23.603400
2025-03-18,37.793820,14.521172,14.559235,16.067897,22.080975
2025-03-19,37.902670,15.082480,17.368039,17.152616,23.484553
2025-03-20,37.887543,13.959957,16.927278,17.071387,23.261279
2025-03-21,37.850584,13.685356,19.399726,16.686385,23.718643
2025-03-24,37.939766,15.144653,26.085188,18.898752,25.959051
2025-03-25,37.887401,15.532284,26.789282,19.144083,26.328186
2025-03-26,37.967805,15.106437,23.447721,18.119911,24.534767
2025-03-27,38.021708,14.923825,21.615090,17.834129,24.130529
2025-03-28,37.924303,12.685919,19.470879,15.636222,21.407996
2025-03-31,38.116418,13.543004,20.474039,16.546940,21.981943
2025-04-01,38.131975,13.662167,22.596070,16.494420,22.482960
2025-04-02,38.148947,14.410912,20.230392,17.769409,23.185205
2025-04-03,38.123310,8.462125,16.116172,12.701854,17.071205
2025-04-04,37.325912,1.992091,6.770899,5.577189,10.110472
2025-04-07,37.341802,1.218306,6.417543,4.845627,10.042499
2025-04-08,37.236056,0.347176,6.250982,3.466174,8.303547
2025-04-09,38.737399,8.094026,14.547960,12.555593,19.352145
2025-04-10,38.315364,5.003009,11.806188,8.643644,14.982042
2025-04-11,38.560323,6.337662,12.690418,10.285767,17.175193
2025-04-14,38.670195,7.555559,15.018548,11.610915,17.908496
2025-04-15,38.575704,7.668451,14.187625,11.403047,17.715378
2025-04-16,38.451516,5.828198,12.759125,9.462058,14.574650
2025-04-17,38.648551,7.754534,13.172704,11.229798,14.524689
2025-04-21,38.140580,5.225042,11.989041,8.761190,11.803497
2025-04-22,39.126842,7.397072,16.593168,11.391538,14.601664
2025-04-23,39.854360,8.596477,17.731342,12.400230,16.805168
2025-04-24,41.094807,10.147740,18.235981,14.553047,19.326933
2025-04-25,41.855119,10.226833,18.654368,15.377497,20.634184
2025-04-28,41.657729,10.397989,19.313107,15.370122,20.567562
2025-04-29,41.974007,11.292847,19.452458,16.213480,21.220286
2025-04-30,41.959417,11.727887,20.970237,16.551303,21.304459
2025-05-01,43.848581,11.363578,21.623781,15.406653,22.405535
2025-05-02,44.785307,13.436268,23.137378,17.400451,24.085063
2025-05-05,44.109665,13.334219,23.405969,17.052069,23.067710
2025-05-06,43.586158,12.540749,23.232438,15.797639,22.043609
2025-05-07,42.417353,13.083082,23.545664,16.189893,22.539680
2025-05-08,43.680977,13.503905,25.406203,16.666272,23.289644
2025-05-09,43.596227,13.123637,25.221669,16.446332,23.163148
2025-05-12,47.954388,15.712252,26.580853,20.033391,27.560253
2025-05-13,48.693165,15.804664,26.687444,20.247538,28.676638
2025-05-14,49.380028,15.365116,26.915851,19.844229,29.174962
2025-05-15,49.516719,17.002998,30.181775,21.166470,29.470255
2025-05-16,50.237824,18.074540,31.154981,22.364042,30.235968
2025-05-19,50.271659,18.420646,32.562445,22.566865,30.319702
2025-05-20,49.548992,18.076338,32.513562,22.170951,29.799771
2025-05-21,48.449175,16.095717,31.434910,19.985340,27.946940
2025-05-22,48.670983,15.895104,30.269768,19.785179,28.047774
2025-05-23,47.373306,15.910000,31.576422,18.968040,26.998912
2025-05-27,49.995780,18.087466,35.419937,21.475184,29.786265
2025-05-28,49.460593,17.467048,35.873378,20.823180,29.229429
2025-05-29,49.678339,17.669761,36.561361,21.173152,29.896561
2025-05-30,49.771590,18.525595,37.202852,21.636062,29.861448
2025-06-02,49.739359,19.243806,37.865093,21.700550,30.512369
2025-06-03,49.779819,20.008414,38.195477,22.556973,31.222264
2025-06-04,50.207749,20.022420,38.617237,22.798931,31.400073
2025-06-05,50.366796,19.394750,38.833514,21.790858,30.467805
2025-06-06,52.045510,20.087940,40.306488,22.599131,31.937554
2025-06-09,53.026587,19.864570,39.062982,22.597604,32.275170
2025-06-10,53.837901,20.424649,35.974151,23.612389,33.146674
2025-06-11,53.546321,20.633128,37.310415,23.305167,32.743337
2025-06-12,54.025097,20.883205,35.884110,23.581059,33.248860
2025-06-13,53.428826,18.894398,34.148714,22.040616,31.778198
2025-06-16,54.536458,19.978127,34.304847,22.690307,33.066094
2025-06-17,53.975124,18.787048,33.661627,21.381667,31.920003
2025-06-18,53.907401,18.469902,33.651458,21.009603,31.870031
2025-06-20,53.167006,18.570736,36.139078,20.808691,31.394226
2025-06-23,53.620613,20.012995,39.199328,22.338883,32.640701
2025-06-24,54.846501,21.144584,39.252073,23.782835,34.134310
2025-06-25,55.125527,20.944350,39.069549,23.742984,34.558803
2025-06-26,56.183362,21.783343,39.864298,24.493836,35.679694
2025-06-27,57.131918,22.227859,41.158915,24.958957,36.462958
2025-06-30,57.112632,23.116641,42.194401,25.804237,37.108033
2025-07-01,57.320154,23.064960,39.828854,26.158171,36.611060
2025-07-02,57.737711,23.029946,38.670190,26.940814,37.495159
2025-07-03,58.680373,24.033267,40.429031,27.650783,38.706531
2025-07-07,57.991079,23.509573,43.254480,26.377523,37.560440
2025-07-08,57.617998,23.702357,43.404296,26.156097,37.325900
2025-07-09,58.365582,23.462748,43.677233,26.552680,38.319845
2025-07-10,58.865572,23.297126,44.105715,27.344207,38.676814
2025-07-11,59.164228,22.293723,44.097239,26.744174,38.368916
2025-07-14,59.400198,22.661605,44.841739,27.163454,38.535471
2025-07-15,59.381492,20.498209,44.243124,25.339160,38.466145
2025-07-16,59.714791,21.621195,43.607873,26.220153,38.919454
2025-07-17,60.398449,21.958320,41.879192,26.471556,39.563177
2025-07-18,60.556385,22.070747,42.699250,26.406079,39.487092
2025-07-21,61.470671,22.122399,43.022734,26.200810,39.935455
2025-07-22,61.574287,22.555318,42.492950,26.132719,39.584783
2025-07-23,62.031394,23.652923,42.282264,27.430047,40.733578
2025-07-24,62.671544,23.577959,44.310883,26.963921,40.950545
2025-07-25,63.077674,23.844597,45.640380,27.786842,41.383148
2025-07-28,63.143550,23.510395,44.906139,27.833628,41.721214
2025-07-29,63.547053,23.905767,42.241163,27.481680,41.138266
2025-07-30,63.580441,23.455135,43.509687,27.007125,41.153565
2025-07-31,63.174996,21.735093,42.944726,25.475297,40.956853
2025-08-01,61.652342,19.954755,41.808755,24.588439,38.392325
2025-08-04,63.593894,21.678457,44.842340,26.275049,40.469783
2025-08-05,63.232149,20.663311,44.451695,25.915833,39.930949
2025-08-06,63.893348,20.709782,44.369988,26.417594,41.325076
2025-08-07,64.317220,19.971251,46.885176,25.114496,41.210735
2025-08-08,65.941302,20.856998,45.364672,25.970255,42.729556
2025-08-11,65.740961,20.005035,46.145106,26.065354,42.366289
2025-08-12,66.674456,21.650642,48.207757,27.876428,43.944522
2025-08-13,66.943475,22.197804,44.673854,28.675526,44.071018
2025-08-14,67.094355,22.125906,45.316367,28.902207,44.484257
2025-08-15,67.189151,21.322390,45.645490,28.328296,44.211471
2025-08-18,67.086671,21.659832,46.868029,28.535777,44.190755
2025-08-19,66.813249,21.467536,47.175647,28.337581,42.785825
2025-08-20,66.165964,21.483463,46.163901,28.459920,42.248794
2025-08-21,66.067244,21.075183,47.007686,27.656331,41.679803
2025-08-22,68.134267,22.042164,48.421068,29.911703,43.801376
2025-08-25,68.130661,21.214918,47.162869,28.892774,43.424152
2025-08-26,68.243573,21.591008,50.146783,29.748807,44.099383
2025-08-27,68.565529,21.875596,49.102081,29.714618,44.407282
2025-08-28,69.534526,22.206741,50.295803,30.032808,44.958721
2025-08-29,69.386022,21.927199,48.344905,29.402877,43.858096
2025-09-02,68.594228,20.849024,47.697696,28.529565,42.920871
2025-09-03,71.718965,20.481572,47.971550,28.465977,44.022848
2025-09-04,72.881392,21.300652,48.991525,29.600776,45.234221
2025-09-05,73.051990,21.309101,47.383848,29.878728,44.636415
2025-09-08,73.177374,21.598699,49.105971,30.280861,44.946566
2025-09-09,74.217189,21.694622,49.977645,30.608878,45.611896
2025-09-10,74.495039,21.216958,50.949160,31.306678,46.328098
2025-09-11,75.176459,23.425217,50.879375,33.155900,47.127562
2025-09-12,75.061916,22.657437,51.857651,32.807279,47.464738
2025-09-15,77.065629,22.819554,55.463161,32.886064,48.507292
2025-09-16,77.421797,22.901455,56.351976,33.310246,48.449671
2025-09-17,77.398487,24.299451,51.836169,33.974526,48.228198
2025-09-18,78.104545,25.331683,55.208222,34.271775,48.716159
2025-09-19,79.168669,25.779221,59.098532,34.399864,49.787528
