Date,portfolio_equity,portfolio_cum_return,benchmark_cum_return,AXP_asset,AMGN_asset,AMZN_asset,AAPL_asset,BA_asset,CAT_asset,CSCO_asset,CVX_asset,GS_asset,HD_asset,HON_asset,IBM_asset,JNJ_asset,KO_asset,JPM_asset,MCD_asset,MMM_asset,MRK_asset,MSFT_asset,NVDA_asset,NKE_asset,PG_asset,TRV_asset,UNH_asset,CRM_asset,VZ_asset,V_asset,WMT_asset,DIS_asset,SHW_asset
2024-06-17,114000178.99386223,0.14000178993862233,0.028186700224235084,4144397.605141932,4354755.163080322,3395801.3060465227,3878636.772408245,5027007.715634287,6227972.975362816,876643.1799615955,2643805.198720703,7757941.513914674,6354813.723213493,3719042.073655115,3141592.725704102,2555408.045346215,1066077.4149506802,3383947.8724976056,5128450.9104572395,1720110.0637117215,2072033.8878862078,8284112.41926749,2148381.0525552547,1833448.7427898461,2848304.9259850364,3833413.753181026,8887421.58169723,4823632.578570733,582292.1030774585,4487903.622042732,1047359.4130682487,2018681.672086607,5756788.9818470795
2024-06-18,114147221.65640204,0.14147221656402031,0.029691612161511394,4144397.605141932,4354755.163080322,3372740.0560465227,3836032.3157432056,5027007.715634287,6227972.975362816,882015.3257516954,2643805.198720703,7882875.324705689,6354813.723213493,3735185.1307077277,3161054.206172852,2555408.045346215,1066247.6732018706,3383947.8724976056,5128450.9104572395,1724216.4412980862,2072033.8878862078,8246606.76313956,2223829.9615670955,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,591440.8878980151,4487903.622042732,1050155.760304882,2018681.672086607,5756788.9818470795
2024-06-20,114233239.73181699,0.14233239731816982,0.03764340940751221,4144397.605141932,4427037.478455008,3433437.423691787,3753508.824654337,5027007.715634287,6227972.975362816,896404.7761186693,2643805.198720703,7893558.788450806,6354813.723213493,3757469.0044107307,3223515.260860352,2555408.045346215,1058586.7348435635,3383947.8724976056,5128450.9104572395,1739444.5013719387,2072033.8878862078,8234782.946122958,2145100.5671121394,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,593801.9970288745,4487903.622042732,1056524.7819113273,2018681.672086607,5756788.9818470795
2024-06-21,114116537.4158685,0.14116537415868513,0.03805614678328961,4144397.605141932,4402324.296844901,3488415.3648691555,3714305.8477256275,5027007.715634287,6227972.975362816,907340.7923311328,2643805.198720703,7757941.513914674,6354813.723213493,3774138.1208047736,3196454.282344727,2555408.045346215,1068631.0838349576,3383947.8724976056,5128450.9104572395,1751934.931143362,2072033.8878862078,8310163.072587802,2076048.3038903985,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,593801.9970288745,4487903.622042732,1054971.1617636222,2018681.672086607,5756788.9818470795
2024-06-24,114405952.69005412,0.14405952690054113,0.04497335591219098,4144397.605141932,4545031.274414481,3423659.4762125392,3725941.5753867594,5027007.715634287,6227972.975362816,907148.8363336656,2695235.4519254747,7963178.493284791,6354813.723213493,3788174.5695199836,3243717.237422852,2555408.045346215,1089060.5032037015,3383947.8724976056,5128450.9104572395,1762201.078711111,2072033.8878862078,8271179.8688524505,1937287.4798089773,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,607525.1101270191,4487903.622042732,1070350.2867865104,2018681.672086607,5756788.9818470795
2024-06-25,114438686.9518797,0.14438686951879687,0.037044137523886356,4144397.605141932,4561601.134735526,3437865.003525772,3742589.154488323,5027007.715634287,6227972.975362816,909067.5479692552,2680854.5415556016,7882014.29394397,6354813.723213493,3762908.0134439343,3199049.604610352,2555408.045346215,1086847.2825272793,3383947.8724976056,5128450.9104572395,1746117.3479829617,2072033.8878862078,8331779.937700107,2068175.1137582576,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,606197.1145062915,4487903.622042732,1047359.4130682487,2018681.672086607,5756788.9818470795
2024-06-26,114522427.36325003,0.14522427363250023,0.037458842781756596,4144397.605141932,4468892.981781424,3571989.312348404,3817415.37189555,5027007.715634287,6227972.975362816,899090.8490137194,2638391.1261198106,7855820.77416858,6398992.871091254,3745011.030091273,3185519.264766602,2555408.045346215,1090422.5009186978,3383947.8724976056,5128450.9104572395,1735851.3361497708,2072033.8878862078,8354136.1493089935,2073260.0416757378,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,605311.7627149096,4487903.622042732,1060874.2663549918,2018681.672086607,5756788.9818470795
2024-06-27,114457801.44929053,0.1445780144929052,0.03842020497045584,4144397.605141932,4481319.334076346,3650213.173691787,3832631.387032268,5027007.715634287,6227972.975362816,910410.545855913,2644650.896337706,7685220.016966432,6392813.72900141,3761680.146485315,3166614.799922852,2555408.045346215,1088039.0219910857,3383947.8724976056,5128450.9104572395,1765280.760099966,2072033.8878862078,8366883.147233798,2033731.1446954522,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,602360.3763013354,4487903.622042732,1054505.2447485465,2018681.672086607,5756788.9818470795
2024-06-28,114357535.9614594,0.1435753596145939,0.0372217647759463,4144397.605141932,4463606.868622244,3565347.6610880275,3770335.76252055,5027007.715634287,6227972.975362816,911561.6648668383,2646342.718527037,7794818.497435182,6444294.367215522,3757468.264691331,3205536.565547852,2555408.045346215,1083612.6489327664,3383947.8724976056,5128450.9104572395,1748513.0629335234,2072033.8878862078,8257877.358842685,2026350.3031350886,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,608557.9671063891,4487903.622042732,1051864.5251440543,2018681.672086607,5756788.9818470795
2024-07-01,114811300.63175209,0.1481130063175209,0.038564999663388555,4144397.605141932,4443037.19503826,3638221.1547861476,3880068.887398479,5027007.715634287,6227972.975362816,911753.6208643053,2648034.259542662,7990233.043821901,6293599.69863642,3757468.264691331,3245385.296016602,2555408.045346215,1077313.5717004056,3383947.8724976056,5128450.9104572395,1721478.946730215,2113679.3344812416,8438569.97737296,2038815.821926287,1833448.7427898461,2848304.9259850364,3826046.607504743,8887421.58169723,4823632.578570733,615936.1124768726,4487903.622042732,1048291.6093039054,2018681.672086607,5756788.9818470795
